id,agv,initTime,assignTime,pickupTime,comepleteTime
70,35,15.78103757,15.8,26.9,44.45
76,30,16.38640429,16.4,22.15,44.7
65,94,15.44186047,15.45,22.05,45.05
88,44,26.53023256,26.55,32.55,45.15
49,53,13.60572451,13.65,18.35,45.25
62,92,14.63542039,14.65,19.85,46.1
73,99,16.18461538,16.2,25.65,47.2
113,79,31.76386404,31.8,38.95,47.6
118,13,32.69123435,32.7,37.8,47.65
69,97,15.71592129,15.75,21.65,48.0
128,64,38.71699463,38.75,40.2,49.55
135,32,41.04973166,41.05,42.35,50.7
84,27,25.02969589,25.05,33.75,51.0
50,89,13.65796064,13.7,21.0,51.5
100,19,29.05545617,29.1,36.8,51.55
80,39,22.68121646,22.7,37.35,54.35
68,96,15.47191413,15.5,24.95,54.65
132,17,40.51520572,40.55,42.6,54.8
87,49,25.96708408,26.0,42.7,54.8
77,29,16.59677996,16.6,34.1,55.2
98,22,28.68479428,28.7,36.55,55.3
107,24,30.41431127,30.45,41.3,55.4
85,26,25.24436494,25.25,43.3,57.05
127,28,38.65187835,38.7,44.2,57.15
83,40,25.00250447,25.05,36.25,57.3
75,31,16.33774597,16.35,31.15,57.65
134,69,40.91019678,40.95,44.85,57.95
121,86,35.95706619,36.0,51.85,58.2
89,75,26.76708408,26.8,44.65,58.45
81,47,24.71127013,24.75,39.65,59.25
82,33,24.95599284,25.0,36.55,59.3
103,65,29.47978533,29.5,46.1,59.4
143,68,42.84722719,42.85,50.2,59.9
99,20,28.69338104,28.7,41.0,60.0
93,48,27.51484794,27.55,46.7,60.55
112,18,31.63649374,31.65,49.6,61.2
133,88,40.53166369,40.55,54.5,62.75
169,64,53.15778175,53.2,55.55,62.8
122,55,37.18568873,37.2,44.7,63.1
95,43,27.92987478,27.95,41.4,63.4
86,25,25.32665474,25.35,40.0,64.95
102,66,29.41538462,29.45,44.9,65.8
120,83,35.58783542,35.6,49.45,66.05
119,84,33.92772809,33.95,51.15,67.15
90,42,26.79284436,26.8,48.95,67.2
96,52,28.17245081,28.2,49.05,67.45
124,90,37.56493739,37.6,54.65,67.95
171,13,53.71019678,53.75,63.25,68.05
106,21,29.96064401,30.0,53.15,68.15
160,46,49.88980322,49.9,56.7,68.5
97,57,28.41860465,28.45,51.3,68.8
126,85,38.19821109,38.2,55.45,69.1
165,79,52.26046512,52.3,59.2,69.6
101,78,29.19427549,29.2,52.2,69.95
111,63,31.509839,31.55,53.85,70.7
125,72,38.16243292,38.2,50.15,70.8
176,32,54.20822898,54.25,62.0,71.1
136,23,41.1627907,41.2,62.65,71.55
148,98,44.26833631,44.3,61.75,71.6
123,73,37.45545617,37.5,58.55,71.7
130,59,39.47191413,39.5,60.95,71.95
179,39,55.43112701,55.45,67.75,72.4
108,15,30.50375671,30.55,55.25,72.5
144,45,43.04543828,43.05,65.9,72.85
157,99,47.84686941,47.85,64.9,72.85
109,62,31.13202147,31.15,53.7,73.05
114,71,32.10161002,32.15,53.65,73.95
105,38,29.88908766,29.9,56.0,74.15
117,67,32.57602862,32.6,57.55,74.2
180,29,55.78747764,55.8,66.9,74.3
129,74,39.35384615,39.4,54.3,74.95
139,54,41.37960644,41.4,65.3,75.25
110,82,31.20930233,31.25,61.5,75.4
213,6,68.1588551,68.2,72.9,76.3
196,48,60.88515206,60.9,70.3,77.0
116,81,32.56529517,32.6,59.95,77.3
147,51,43.47048301,43.5,62.2,77.7
145,76,43.15706619,43.2,66.85,77.85
199,88,62.93881932,62.95,74.4,78.4
115,14,32.11663685,32.15,59.75,78.8
141,87,41.91055456,41.95,67.0,79.95
142,80,42.73488372,42.75,65.05,80.2
146,34,43.38890877,43.4,70.25,80.25
164,41,51.95062612,52.0,72.7,80.55
149,95,45.14490161,45.15,69.85,80.65
153,60,46.37352415,46.4,67.85,80.75
131,70,40.3921288,40.4,58.45,80.75
140,36,41.909839,41.95,65.35,81.65
161,56,50.40930233,50.45,71.55,81.8
234,99,74.10661896,74.15,76.85,82.3
229,23,71.76100179,71.8,78.95,83.85
167,30,52.77853309,52.8,79.55,84.9
206,7,66.62325581,66.65,75.55,85.25
214,21,68.2332737,68.25,72.25,85.25
191,47,59.35241503,59.4,79.8,85.3
137,91,41.2450805,41.25,64.1,85.3
189,86,58.53094812,58.55,66.4,86.1
177,8,54.25330948,54.3,81.6,86.5
235,29,74.84293381,74.85,81.4,87.0
168,58,53.02826476,53.05,67.45,87.25
184,26,57.6744186,57.7,76.4,87.4
231,39,72.5352415,72.55,76.9,87.5
151,35,45.70948122,45.75,75.0,87.95
245,88,78.68264758,78.7,82.95,88.05
172,12,53.73738819,53.75,80.95,88.35
159,44,48.99463327,49.0,72.0,88.55
178,49,54.97960644,55.0,71.9,89.0
181,89,56.73703041,56.75,75.1,89.15
158,92,47.99928444,48.0,72.75,89.25
233,59,73.78389982,73.8,82.8,89.85
155,61,46.6039356,46.65,67.9,90.05
211,90,67.9549195,68.0,86.45,90.35
138,77,41.32307692,41.35,64.9,90.45
174,10,53.82110912,53.85,81.65,90.55
236,73,74.91735242,74.95,84.05,90.7
243,48,78.21323792,78.25,83.15,92.15
154,94,46.50089445,46.55,76.0,92.4
186,17,58.01645796,58.05,88.8,92.75
242,76,78.2118068,78.25,82.25,93.05
185,40,57.69946333,57.7,85.15,93.4
150,93,45.44758497,45.45,66.65,93.7
188,28,58.15169946,58.2,86.75,93.95
182,19,56.78998211,56.8,84.35,95.0
230,98,71.83255814,71.85,80.75,95.35
198,18,62.51735242,62.55,83.55,95.8
202,43,64.89731664,64.9,90.5,96.15
209,42,67.67155635,67.7,85.7,96.6
225,63,70.88014311,70.9,83.25,96.9
270,8,85.81824687,86.55,91.5,97.05
175,9,54.17531306,54.2,83.2,97.05
212,13,68.09660107,68.1,88.35,97.25
252,56,82.18246869,82.2,87.15,97.35
263,23,83.2980322,83.9,94.25,97.75
203,64,65.63506261,65.65,90.8,98.0
170,27,53.33237925,53.35,78.85,98.05
192,65,59.44615385,59.45,76.95,98.15
156,16,46.70268336,46.75,75.45,98.2
249,41,81.33738819,81.35,87.3,98.35
166,53,52.31413238,52.35,73.25,98.8
152,37,46.22182469,46.25,69.9,98.85
223,78,70.05581395,70.1,95.35,99.7
190,75,58.69910555,58.7,76.55,100.25
251,60,82.09159213,82.1,88.95,100.35
248,80,80.22468694,80.25,97.2,100.9
194,68,60.04436494,60.05,79.9,100.95
250,34,81.909839,81.95,86.75,101.45
210,52,67.77817531,67.8,89.35,101.5
163,50,51.90268336,51.95,75.7,101.85
275,35,87.32593918,88.0,94.95,102.25
218,85,69.19713775,69.2,96.75,102.5
187,22,58.13381038,58.15,97.55,102.85
193,96,59.66296959,59.7,89.2,103.05
173,11,53.80250447,53.85,78.35,103.8
215,83,68.34203936,68.35,99.9,104.0
183,24,57.0118068,57.05,93.3,104.25
276,88,88.32057245,88.35,96.0,104.25
232,45,73.22003578,73.25,81.2,104.45
226,72,70.98318426,71.0,90.65,104.7
197,33,61.08407871,61.1,79.35,104.85
205,66,66.12593918,66.15,98.75,104.95
289,28,94.17316637,94.2,100.6,105.2
162,97,51.12987478,51.15,75.3,105.45
254,51,82.2039356,82.25,95.85,105.65
286,76,93.13416816,93.15,98.25,107.1
271,29,85.93059034,87.05,102.7,107.2
269,86,85.77674419,86.15,100.55,107.4
220,4,69.55348837,69.6,98.2,107.7
216,46,68.62254025,68.65,99.8,107.85
247,87,80.14025045,80.15,92.45,108.45
221,79,69.60071556,69.65,90.3,108.65
237,67,75.09481216,75.1,98.4,109.0
238,54,75.60930233,75.65,85.95,109.2
219,57,69.53488372,69.55,94.75,109.25
274,39,87.21359571,87.55,102.7,109.3
283,73,91.79964222,91.8,98.8,109.75
253,95,82.19463327,82.2,91.9,109.85
285,17,92.8765653,92.9,101.4,110.4
282,10,90.84078712,90.85,98.95,110.95
268,91,85.04329159,85.35,99.9,111.75
224,2,70.45867621,70.5,100.45,111.95
255,99,82.38926655,82.4,89.85,112.5
258,70,82.58676208,82.6,103.8,112.7
195,20,60.1059034,60.15,94.8,112.75
244,81,78.31270125,78.35,95.35,112.9
292,98,95.65724508,95.7,100.3,113.2
265,21,84.10518784,85.3,110.15,114.0
239,82,75.72379249,75.75,94.85,114.2
310,41,98.99033989,99.0,106.4,114.7
208,84,67.32307692,67.35,91.05,114.95
318,35,102.788551,102.8,107.5,116.05
241,62,76.99463327,77.0,92.2,116.4
279,92,89.60644007,89.65,110.7,116.6
278,44,88.75778175,88.8,105.15,117.1
294,89,96.04794275,96.05,106.75,117.8
277,12,88.54525939,88.55,108.55,118.2
293,18,95.90912343,95.95,102.1,118.2
329,29,107.7137746,107.75,111.5,118.6
337,45,110.0744186,110.1,111.75,118.65
320,83,104.9946333,105.0,111.1,119.3
284,90,91.97137746,92.0,104.9,119.55
264,30,83.64221825,84.95,97.0,120.15
266,7,84.80214669,85.3,110.6,120.2
303,56,97.42826476,97.45,106.6,120.35
267,47,85.0039356,85.35,105.75,120.45
295,43,96.20250447,96.25,105.7,120.85
272,58,86.21753131,87.3,112.3,121.1
334,67,109.1012522,109.15,117.75,121.15
306,27,98.06797853,98.1,104.85,121.75
301,8,96.81932021,97.1,106.75,121.9
288,94,93.92271914,93.95,100.5,122.35
201,31,64.62254025,64.65,86.75,122.85
316,52,101.8225403,101.85,115.55,123.4
281,59,90.17245081,90.2,97.4,123.45
302,13,97.4118068,97.45,101.45,124.0
311,78,99.84472272,99.85,108.9,124.3
339,57,111.0218247,111.05,115.5,124.65
204,55,65.7509839,65.8,97.15,124.75
259,15,82.79284436,82.8,105.6,124.85
291,19,95.12844365,95.15,108.25,124.85
207,25,66.76493739,66.8,108.0,125.2
323,96,106.0887299,106.1,109.2,125.2
200,69,63.45187835,63.5,108.05,125.5
298,93,96.30626118,96.35,108.75,126.2
217,5,68.67906977,68.7,98.0,126.35
309,16,98.2254025,98.25,117.45,126.4
352,70,114.7169946,114.75,122.6,126.45
256,36,82.44293381,82.45,99.15,126.6
322,24,105.2937388,105.3,109.8,126.65
328,86,107.6093023,107.65,112.9,126.75
313,60,100.7033989,100.75,112.7,127.25
369,99,121.7466905,121.75,124.35,127.5
307,64,98.07298748,98.1,114.6,127.75
333,51,108.9381038,108.95,120.95,127.85
305,23,97.87978533,97.9,106.3,128.15
332,46,108.8314848,108.85,120.05,128.35
330,4,108.2797853,108.3,118.4,128.75
246,71,79.64722719,79.65,98.7,129.1
300,63,96.77495528,96.95,115.5,129.45
227,32,71.42397138,71.45,103.1,129.65
290,48,94.59892665,94.6,111.65,129.95
324,28,106.1660107,106.2,113.15,130.0
351,20,114.3806798,114.4,125.1,131.0
287,40,93.5313059,93.55,110.15,131.2
262,0,83.11914132,83.15,114.05,131.45
348,21,114.0772809,114.1,121.55,131.75
261,6,83.0411449,83.05,107.75,131.8
327,88,107.1033989,107.15,121.4,131.8
347,95,113.3953488,113.4,118.3,131.85
321,66,105.0411449,105.05,109.7,131.95
299,42,96.30840787,96.65,109.5,132.05
342,2,112.3062612,112.35,118.85,132.2
325,72,106.3584973,106.4,117.0,132.25
312,53,99.86762075,99.9,121.85,132.4
354,37,114.8257603,114.85,121.0,132.5
362,29,118.8293381,118.85,126.0,132.7
361,44,118.1159213,118.15,128.45,132.85
340,97,111.2701252,111.3,114.05,133.65
314,75,100.8014311,100.85,124.85,134.35
331,68,108.7406082,108.75,120.15,134.8
297,77,96.25474061,96.3,113.85,134.85
359,98,116.8107335,116.85,125.0,135.2
319,22,103.4504472,103.5,117.2,135.25
350,82,114.3033989,114.35,123.95,135.4
365,89,119.5062612,119.55,127.15,135.4
260,14,83.00465116,83.05,109.5,136.3
273,26,86.45152057,87.45,111.7,136.8
381,90,125.019678,125.05,127.25,136.9
308,65,98.08085868,98.2,113.35,137.25
338,17,110.529517,110.55,116.05,137.35
372,7,122.3563506,122.4,133.05,137.55
240,38,76.61824687,76.65,105.65,137.55
222,3,69.89481216,69.9,111.55,137.65
315,80,101.0432916,101.05,117.05,137.8
366,18,119.6293381,119.65,128.0,137.95
336,50,109.1685152,109.2,122.25,138.25
363,12,118.8457961,118.85,124.35,138.3
387,16,127.0547406,127.1,130.15,139.15
335,76,109.1477639,109.15,114.45,139.65
257,74,82.48586762,82.5,111.2,140.4
399,44,132.9152057,132.95,137.0,140.55
343,91,112.3255814,112.35,129.05,140.6
392,55,128.0937388,128.1,132.7,140.65
376,30,123.7853309,123.8,129.65,141.0
346,81,113.3760286,113.4,121.85,141.1
228,1,71.42468694,71.45,123.8,141.25
386,19,126.0193202,126.05,132.0,141.55
378,62,124.5817531,124.6,127.25,141.65
356,35,116.5474061,116.55,123.25,141.8
383,15,125.0740608,125.1,135.1,142.05
353,41,114.7674419,114.8,121.4,142.25
398,20,131.8046512,131.85,137.1,142.3
371,84,122.3542039,122.4,129.1,142.35
326,85,106.5595707,106.6,113.1,142.75
344,39,112.3599284,112.4,118.75,142.8
280,49,89.72379249,89.75,113.5,143.5
390,78,127.3717352,127.4,131.0,143.9
367,58,121.3946333,121.4,123.7,144.0
370,56,121.8404293,121.85,127.4,144.05
391,99,127.9305903,127.95,138.1,144.05
397,48,130.6268336,130.65,136.55,144.2
304,9,97.50053667,97.55,120.4,144.3
411,28,137.1105546,137.15,138.6,144.6
296,61,96.25187835,96.3,116.15,144.65
358,54,116.7141324,116.75,129.2,145.0
379,27,124.7205725,124.75,132.95,145.95
415,66,137.9162791,137.95,140.5,146.6
400,95,133.0003578,133.05,137.05,146.75
380,8,124.913059,124.95,135.2,146.85
412,36,137.1742397,137.2,138.95,147.6
368,67,121.4812165,121.5,129.8,147.6
341,10,112.2912343,112.3,116.3,147.75
377,83,124.2640429,124.3,129.25,148.05
382,57,125.0490161,125.05,130.55,148.3
404,21,135.6779964,135.7,137.95,148.45
349,87,114.1302326,114.15,125.1,148.55
403,2,134.7985689,134.8,139.15,148.7
385,69,125.9205725,125.95,131.75,148.85
407,88,136.4157424,136.45,139.7,148.95
374,47,123.5033989,123.55,128.2,149.05
408,4,136.8601073,136.9,142.7,149.2
394,46,129.0726297,129.1,132.35,149.25
384,25,125.2765653,125.3,132.3,150.4
373,43,122.9416816,122.95,131.35,150.5
426,62,141.9785331,142.0,145.6,150.8
317,34,101.9112701,101.95,122.25,150.85
401,29,133.3431127,133.35,138.55,151.8
416,53,138.1001789,138.15,141.65,151.8
437,66,147.5742397,147.6,150.25,153.05
388,70,127.0905188,127.1,132.05,153.55
345,73,112.4958855,112.5,118.15,154.0
396,63,129.8357782,129.85,135.35,154.45
375,52,123.5620751,123.6,131.4,154.7
409,98,136.8987478,136.9,143.45,155.0
419,18,138.5474061,138.55,148.4,155.25
360,33,117.0003578,117.05,132.2,155.25
414,59,137.9019678,137.95,143.05,155.3
420,75,139.0067979,139.05,145.9,155.3
393,51,128.152415,128.2,134.05,155.4
424,72,139.9599284,140.0,142.25,156.3
438,36,148.2790698,148.3,151.1,156.55
395,23,129.1584973,129.2,138.15,156.6
364,45,119.363864,119.4,128.85,156.7
440,90,149.4876565,149.5,151.5,157.25
405,64,135.7159213,135.75,142.65,157.8
413,96,137.3330948,137.35,140.05,157.8
357,92,116.7062612,116.75,122.75,157.95
355,79,115.2615385,115.3,131.75,158.8
435,48,147.1177102,147.15,149.5,158.85
441,30,149.7481216,149.75,152.2,159.0
433,99,145.2325581,145.25,149.7,159.5
427,71,142.5044723,142.55,146.95,159.8
453,80,152.4121646,152.45,153.7,159.85
389,86,127.1398927,127.15,134.55,159.9
421,77,139.5413238,139.55,153.25,160.5
410,60,136.8991055,136.9,144.2,160.6
428,50,142.5431127,142.55,144.6,160.7
429,16,143.7745975,143.8,149.45,161.65
443,54,150.0930233,150.1,151.9,161.9
444,95,150.4021467,150.45,154.85,162.0
430,19,143.8357782,143.85,146.4,162.2
431,44,143.9277281,143.95,145.1,162.2
445,91,150.4078712,150.45,154.4,162.35
458,62,154.1681574,154.2,157.0,162.4
436,78,147.5184258,147.55,153.05,162.55
434,58,146.5960644,146.6,152.5,162.6
461,88,155.4883721,155.5,158.0,162.6
423,93,139.752415,139.8,150.2,162.8
402,37,133.3817531,133.4,135.85,163.1
451,56,152.0837209,152.1,154.55,163.2
418,7,138.2618962,138.3,144.3,163.35
465,8,157.6347048,157.65,159.65,163.35
468,75,158.2790698,158.3,160.5,163.4
425,68,140.2561717,140.3,148.25,163.8
452,61,152.1194991,152.15,155.85,163.95
406,89,135.9062612,135.95,141.15,164.3
455,4,152.7420394,152.75,156.15,164.7
417,42,138.1051878,138.15,142.85,164.7
466,18,157.6350626,157.65,161.4,164.8
432,55,144.4651163,144.5,146.25,164.95
422,82,139.6937388,139.7,145.15,165.1
447,81,151.1134168,151.15,153.55,165.2
446,1,150.945975,150.95,152.25,165.5
457,83,153.3567084,153.4,156.15,165.55
483,26,163.2078712,163.25,164.4,167.65
476,29,161.9069767,161.95,164.05,168.15
467,46,158.0039356,158.05,160.15,168.75
450,49,151.5713775,151.6,155.05,168.95
470,87,159.6243292,159.65,160.7,169.35
439,76,148.9302326,148.95,150.6,170.1
442,65,149.7674419,149.8,153.5,170.25
462,84,156.372093,156.4,158.9,170.85
463,47,156.5645796,156.6,158.8,171.15
473,57,160.8372093,160.85,162.6,171.35
471,36,159.7889088,159.8,162.95,171.4
472,43,160.7084079,160.75,162.7,171.7
459,53,155.2615385,155.3,156.75,172.0
482,38,162.7055456,162.75,164.35,172.3
474,80,160.8522361,160.9,164.15,172.4
480,45,162.3813953,162.4,165.6,172.45
456,41,153.2790698,153.3,157.35,173.05
449,32,151.563864,151.6,152.75,173.25
464,2,157.5799642,157.6,160.2,174.0
484,72,164.1452594,164.15,165.7,174.4
478,69,162.3227191,162.35,164.9,174.5
486,63,165.0039356,165.05,167.05,174.65
481,85,162.6182469,162.65,165.95,174.65
488,58,165.3624329,165.4,168.4,174.8
460,67,155.3230769,155.35,157.85,174.8
485,52,164.2840787,164.3,166.65,174.9
454,74,152.7277281,152.75,157.75,175.3
469,98,158.3456172,158.35,160.95,176.5
479,59,162.3255814,162.35,165.55,176.6
492,73,167.89839,167.9,168.95,176.9
448,20,151.4418605,151.45,153.3,177.0
490,62,167.1134168,167.15,168.6,177.2
502,92,171.4304114,171.45,174.3,177.3
499,29,170.3023256,170.35,173.15,177.8
503,61,172.5581395,172.6,174.55,179.6
489,51,166.9960644,167.0,168.85,180.2
495,1,169.2436494,169.25,171.85,180.45
487,23,165.177102,165.2,166.35,181.3
496,18,169.2790698,169.3,170.7,181.4
500,64,170.7509839,170.8,172.05,181.55
501,4,171.2465116,171.25,173.95,182.1
493,96,168.6261181,168.65,170.7,182.1
475,66,161.121288,161.15,163.8,182.2
513,26,176.8958855,176.9,178.05,182.5
516,31,177.9584973,178.0,179.7,182.5
497,39,170.188551,170.2,172.25,183.15
510,79,174.9094812,174.95,176.8,183.55
477,40,162.0300537,162.05,163.25,183.65
520,35,179.9330948,179.95,181.1,184.2
506,42,173.6243292,173.65,174.9,185.7
523,49,180.749195,180.75,182.55,186.1
491,56,167.8125224,167.85,170.9,186.2
505,86,173.2790698,173.3,175.75,186.25
508,68,174.6962433,174.7,176.45,186.6
498,46,170.2093023,170.25,173.7,186.75
507,44,174.4486583,174.45,176.6,187.2
494,54,168.6812165,168.7,170.85,187.45
509,43,174.8007156,174.85,177.85,187.55
504,33,173.2322004,173.25,174.4,188.0
512,50,175.9205725,175.95,177.1,188.75
531,47,184.9055456,184.95,186.3,189.2
517,38,178.1516995,178.2,179.65,189.35
514,52,176.9069767,176.95,180.55,189.6
527,69,182.9187835,182.95,184.9,189.8
528,61,183.5406082,183.55,185.7,190.0
522,62,180.478712,180.5,181.9,190.7
532,31,185.3388193,185.35,187.2,190.9
518,70,178.1602862,178.2,180.25,191.95
519,45,179.7674419,179.8,181.85,192.05
511,82,175.8597496,175.9,178.45,194.35
526,37,182.9051878,182.95,184.7,196.05
543,67,190.0930233,190.1,191.6,196.1
515,48,177.3266547,177.35,178.8,196.8
530,1,183.8207513,183.85,186.9,197.1
547,34,192.231127,192.25,194.2,197.3
533,58,185.7237925,185.75,187.2,197.8
549,21,193.2003578,193.25,194.4,198.1
538,53,188.2003578,188.25,189.8,198.3
525,41,181.2694097,181.3,183.35,198.65
524,27,181.0697674,181.1,182.85,199.45
548,47,192.3033989,192.35,194.6,199.6
537,59,187.4554562,187.5,189.1,199.8
544,19,190.709839,190.75,192.05,200.2
521,36,180.436136,180.45,181.7,200.6
553,29,194.2132379,194.25,196.0,201.25
546,33,191.9069767,191.95,194.2,201.3
539,49,188.2296959,188.25,190.95,201.5
558,43,195.2615385,195.3,198.8,201.75
536,23,187.2200358,187.25,190.65,201.8
535,57,186.627907,186.65,188.4,202.1
542,66,189.8057245,189.85,194.4,202.15
529,55,183.7413238,183.75,185.2,202.2
534,60,186.0697674,186.1,187.25,202.45
554,52,194.7674419,194.8,196.9,202.7
550,61,193.8822898,193.9,195.55,202.95
565,65,198.2003578,198.25,200.3,203.1
557,64,195.0930233,195.1,197.3,204.75
570,54,200.3677996,200.4,201.95,205.2
566,44,198.8754919,198.9,201.3,206.25
560,62,196.4418605,196.45,198.2,206.4
562,38,196.9069767,196.95,199.15,207.05
540,32,188.6139535,188.65,191.4,207.1
541,20,189.2808587,189.3,194.6,207.65
551,63,193.9427549,193.95,196.05,207.95
576,59,201.9205725,201.95,205.25,208.95
545,30,191.0225403,191.05,192.2,209.3
552,51,194.1749553,194.2,195.95,211.55
574,37,201.6923077,201.7,203.95,211.6
582,64,205.2093023,205.25,207.95,212.0
559,70,195.5384615,195.55,199.3,212.3
561,39,196.4418605,196.45,200.35,213.15
568,46,200.1148479,200.15,201.85,213.2
590,58,207.7277281,207.75,209.65,213.45
567,50,199.7220036,199.75,202.0,213.5
572,34,201.4418605,201.45,202.6,213.6
581,53,204.0300537,204.05,206.45,214.1
588,52,207.106619,207.15,208.9,214.45
573,67,201.4418605,201.45,204.0,215.55
555,35,194.8125224,194.85,196.3,215.65
569,42,200.2615385,200.3,203.65,215.75
556,40,195.0930233,195.1,197.25,216.8
595,59,209.7055456,209.75,211.95,216.85
594,23,209.1499106,209.15,212.4,217.4
563,31,197.1677996,197.2,198.35,217.55
575,47,201.8282648,201.85,204.15,218.25
579,66,202.6865832,202.7,207.5,218.55
602,57,214.1914132,214.2,215.35,218.9
578,33,202.5652952,202.6,209.25,218.95
564,56,197.9406082,197.95,199.85,220.35
593,54,208.7005367,208.75,213.1,220.65
597,62,210.4103757,210.45,213.5,220.95
577,43,202.4744186,202.5,205.25,221.35
571,45,200.5373882,200.55,204.75,221.35
596,61,209.9427549,209.95,211.75,221.85
580,82,202.7370304,202.75,207.65,222.0
598,65,211.79678,211.8,213.25,222.35
586,44,206.9069767,206.95,210.75,223.5
599,41,212.0368515,212.05,214.95,224.9
607,70,216.5416816,216.55,219.4,225.5
616,23,220.2994633,220.3,222.7,225.65
591,28,207.8669052,207.9,209.55,226.55
609,34,217.0497317,217.05,219.8,226.9
610,38,217.965653,218.0,220.35,227.45
611,67,218.0626118,218.1,222.4,228.25
589,27,207.3828265,207.4,211.5,228.3
604,37,215.2382826,215.25,216.7,228.5
606,36,216.0150268,216.05,221.5,228.65
603,48,214.4400716,214.45,215.65,228.65
601,63,213.0708408,213.1,215.75,229.15
585,26,206.5874776,206.6,207.75,229.35
600,49,213.0010733,213.05,214.9,229.4
613,24,219.1202147,219.15,221.9,229.9
626,57,224.4529517,224.5,225.65,230.15
629,46,225.1241503,225.15,226.6,231.15
612,58,218.2790698,218.3,220.5,231.15
608,30,216.5567084,216.6,218.75,231.3
632,17,226.9069767,226.95,228.55,231.5
587,29,207.106619,207.15,208.6,232.0
630,51,225.2325581,225.25,229.2,233.05
614,20,219.5073345,219.55,223.05,233.1
592,60,207.8987478,207.9,212.75,233.2
634,44,227.4547406,227.5,229.1,233.35
584,25,206.0872987,206.1,207.25,233.65
623,50,223.5703041,223.6,224.95,233.75
625,61,224.4057245,224.45,226.45,233.9
633,33,227.1599284,227.2,229.35,233.95
624,47,223.9602862,224.0,227.2,234.85
638,21,229.7674419,229.8,231.85,235.25
583,18,205.7452594,205.75,206.9,235.65
631,22,226.2214669,226.25,228.0,236.3
605,55,215.3745975,215.4,217.45,236.35
617,39,220.4404293,220.45,224.75,236.4
621,32,222.9177102,222.95,225.4,237.05
628,40,224.9330948,224.95,228.95,237.45
619,62,221.1939177,221.2,224.45,237.8
618,53,220.529517,220.55,224.4,238.9
622,54,223.2790698,223.3,225.8,239.25
644,37,234.2050089,234.25,236.1,239.9
620,52,222.3778175,222.4,224.9,240.2
643,46,233.4389982,233.45,235.25,241.05
635,34,228.937746,228.95,232.05,241.1
646,27,235.1860465,235.2,237.5,241.2
