batchNo,orderNo,time,pickup,dropoff
1,135,403.9302326,51,1003
1,135,549.3953488,18,1003
1,135,439.3953488,29,1003
1,135,1410.604651,15,1003
1,135,999.3953488,71,1003
1,135,1454.395349,76,1003
1,135,1339.395349,24,1003
1,135,694.8604651,4,1003
1,135,14.01502683,47,1003
1,135,1204.860465,8,1003
1,239,1814.395349,7,31
1,239,1513.76458,77,31
1,239,1714.395349,23,31
1,239,1354.860465,13,31
1,239,1949.395349,27,31
1,239,1142.975313,65,31
1,239,1684.395349,43,31
1,239,1449.395349,74,31
1,243,1479.395349,33,35
1,243,1916.169589,31,35
1,243,1999.395349,16,35
1,243,1917.841145,38,35
1,243,2919.395349,16,35
1,243,1664.395349,24,35
1,243,1724.395349,69,35
1,243,1164.395349,79,35
1,243,2117.003936,16,35
1,254,1798.648301,34,80
1,254,1574.395349,9,80
1,254,1744.395349,60,80
1,254,1926.006798,20,80
1,254,1737.619678,17,80
1,254,1614.395349,57,80
1,254,1794.395349,21,80
1,254,1997.950626,59,80
1,254,1863.965653,36,80
1,254,2052.71127,50,80
1,254,1787.935599,33,80
1,254,2044.395349,76,80
1,254,1664.395349,23,80
1,254,1889.976386,3,80
1,254,1769.395349,3,80
1,254,2091.005367,15,80
1,254,1604.395349,44,80
1,280,1394.395349,14,26
1,280,1059.860465,17,26
1,280,1389.860465,55,26
1,280,1964.915921,23,26
1,280,1609.395349,48,26
1,280,1918.489445,34,26
1,280,1399.860465,11,26
1,280,1674.395349,5,26
1,280,1805.486941,51,26
1,280,1930.274776,8,26
1,294,1939.395349,67,53
1,294,1694.395349,30,53
1,294,1756.16136,68,53
1,294,1293.906977,61,53
1,294,1989.169946,42,53
1,294,1719.395349,39,53
1,294,1369.860465,19,53
1,294,1674.395349,7,53
1,294,1958.348837,71,53
1,294,1859.09839,42,53
1,294,1764.395349,23,53
1,294,1266.317352,80,53
1,294,1499.395349,79,53
1,294,2080.789267,15,53
1,294,1629.395349,13,53
1,307,1877.051878,34,41
1,307,1684.395349,45,41
1,307,1364.395349,33,41
1,307,1977.294097,20,41
1,307,1544.395349,39,41
1,307,1850.496243,78,41
1,307,1844.395349,68,41
1,307,1239.860465,73,41
1,307,1818.782469,21,41
1,317,1584.395349,37,83
1,317,1529.395349,54,83
1,317,2041.626476,49,83
1,317,1765.207871,10,83
1,317,1639.395349,46,83
1,317,1843.302326,24,83
1,317,1776.192844,71,83
1,317,1709.395349,71,83
1,319,1762.22576,60,84
1,319,1828.920572,53,84
1,319,1886.631843,71,84
1,319,1764.395349,15,84
1,319,1899.482648,71,84
1,319,1434.395349,61,84
1,319,1737.640072,65,84
1,319,1669.395349,64,84
1,319,1854.395349,6,84
1,321,1674.395349,9,96
1,321,1749.395349,28,96
1,321,1830.958855,38,96
1,321,1729.433631,13,96
1,321,1850.948837,25,96
1,321,2904.395349,42,96
1,321,1770.207871,68,96
1,321,1842.490877,20,96
1,321,1754.395349,24,96
1,321,1889.395349,58,96
1,321,1851.199642,59,96
1,322,1884.395349,15,94
1,322,1679,31,94
1,322,1654.395349,78,94
1,322,1794.395349,45,94
1,322,1944.395349,71,94
1,322,1804.395349,27,94
1,322,1559.395349,31,94
1,331,1479.395349,73,92
1,331,1978.942397,33,92
1,331,2116.550984,50,92
1,331,1949.395349,33,92
1,331,1624.395349,79,92
1,331,1901.627907,32,92
1,331,1930.573166,36,92
1,331,1969.061181,7,92
1,331,1769.395349,39,92
1,331,1754.395349,47,92
1,331,1879.395349,8,92
1,332,1887.247585,62,74
1,332,1837.152773,25,74
1,332,1899.71127,62,74
1,332,1574.395349,48,74
1,332,1489.395349,23,74
1,332,1714.395349,13,74
1,332,1763.529159,69,74
1,332,1945.404651,50,74
1,332,1444.395349,44,74
1,332,1794.395349,73,74
1,332,1950.035063,23,74
1,332,1339.860465,5,74
1,333,12.97674419,35,1002
1,333,584.3953488,36,1002
1,333,469.8604651,8,1002
1,333,514.8604651,76,1002
1,333,39.23935599,34,1002
1,333,389.8604651,44,1002
1,333,1154.860465,12,1002
1,333,1194.395349,32,1002
1,333,519.8604651,78,1002
1,333,1229.395349,45,1002
1,333,1214.395349,58,1002
1,333,864.4923077,4,1002
1,333,509.8604651,73,1002
1,333,50.56887299,71,1002
1,333,846.2379249,58,1002
1,333,14.47871199,68,1002
1,333,844.8604651,1,1002
1,333,489.3953488,21,1002
1,333,56.52522361,8,1002
1,333,1004.860465,27,1002
1,333,753.9302326,61,1002
1,333,893.9302326,77,1002
1,333,929.3953488,30,1002
1,333,1394.860465,68,1002
1,333,233.9302326,62,1002
1,333,904.8604651,3,1002
1,333,354.3953488,14,1002
1,333,719.8604651,13,1002
1,333,979.8604651,53,1002
1,333,698.9302326,59,1002
1,333,988.9302326,55,1002
1,333,234.8604651,9,1002
1,333,40.21466905,45,1002
1,333,417.1381038,51,1002
1,333,1054.395349,45,1002
1,333,844.0586762,80,1002
1,333,1114.860465,39,1002
1,333,1144.395349,71,1002
1,333,422.7509839,47,1002
1,333,994.3953488,69,1002
1,333,883.9302326,74,1002
1,333,15.34883721,44,1002
1,333,47.49338104,39,1002
1,333,1839.395349,50,1002
1,333,464.3953488,1,1002
1,333,954.3953488,2,1002
1,333,494.3953488,26,1002
1,333,21.95062612,4,1002
1,333,984.3953488,15,1002
1,333,1514.395349,7,1002
1,333,583.9302326,68,1002
1,333,189.3953488,30,1002
1,333,16.27620751,5,1002
1,333,704.8604651,7,1002
1,333,804.8604651,69,1002
1,333,1119.860465,77,1002
1,333,1039.395349,8,1002
1,333,459.3953488,78,1002
1,333,639.3953488,39,1002
1,333,109.8604651,29,1002
1,333,0,15,1002
1,333,139.3953488,70,1002
1,333,899.8604651,1,1002
1,333,0,62,1002
1,333,1149.395349,73,1002
1,333,1619.395349,76,1002
1,333,1079.860465,25,1002
1,333,794.3953488,13,1002
1,333,499.8604651,31,1002
1,333,204.3953488,52,1002
1,333,0,25,1002
1,333,1234.860465,72,1002
1,333,1089.860465,29,1002
1,333,1059.395349,48,1002
1,333,1460.703041,67,1002
1,333,1274.395349,29,1002
1,333,1479.395349,58,1002
1,333,1779.395349,49,1002
1,333,1359.860465,15,1002
1,333,199.8604651,63,1002
1,333,848.7345259,59,1002
1,333,878.9302326,72,1002
1,333,524.3953488,43,1002
1,333,324.8604651,73,1002
1,333,55.23649374,28,1002
1,333,95.74382826,43,1002
1,333,579.8604651,7,1002
1,333,72.75348837,56,1002
1,333,293.9302326,59,1002
1,333,1084.395349,70,1002
1,333,254.3953488,28,1002
1,333,10.96028623,13,1002
1,333,38.83291592,71,1002
1,333,1242.681216,69,1002
1,333,1279.395349,31,1002
1,333,25.86046512,64,1002
1,333,53.29660107,67,1002
1,333,614.8604651,24,1002
1,333,57.11198569,41,1002
1,333,15.90697674,46,1002
1,333,0,24,1002
1,333,914.3953488,24,1002
1,333,1184.395349,56,1002
1,333,1674.395349,50,1002
1,333,179.8604651,23,1002
1,333,1289.395349,35,1002
1,333,12.97531306,26,1002
1,333,0,65,1002
1,333,23.70447227,29,1002
1,333,12.23255814,12,1002
1,333,969.3953488,7,1002
1,333,379.3953488,33,1002
1,333,1169.395349,46,1002
1,333,1474.395349,31,1002
1,333,119.8604651,37,1002
1,333,598.9302326,73,1002
1,333,124.3953488,54,1002
1,333,26.58676208,68,1002
1,333,609.8604651,19,1002
1,333,779.8604651,51,1002
1,333,709.8604651,9,1002
1,333,289.3953488,18,1002
1,333,1314.860465,72,1002
1,333,39.00536673,53,1002
1,333,504.8604651,36,1002
1,333,907.8837209,21,1002
1,333,14.0765653,27,1002
1,333,178.9302326,3,1002
1,333,37.20644007,18,1002
1,333,1229.860465,70,1002
1,333,785.9452594,46,1002
1,333,1814.526655,75,1002
1,333,1274.860465,7,1002
1,333,734.3953488,19,1002
1,333,12.619678,31,1002
1,333,198.9302326,37,1002
1,333,218.9302326,46,1002
1,333,1079.395349,56,1002
1,333,954.8604651,23,1002
1,333,16.33774597,38,1002
1,333,89.39534884,4,1002
1,333,118.9302326,50,1002
1,333,479.8604651,16,1002
1,333,594.3953488,39,1002
1,333,969.8604651,9,1002
1,333,49.52915921,4,1002
1,333,808.9302326,64,1002
1,333,388.9302326,79,1002
1,333,894.8604651,22,1002
1,333,964.8604651,28,1002
1,333,26.2118068,65,1002
1,333,189.8604651,32,1002
1,333,143.9302326,48,1002
1,333,1709.395349,75,1002
1,333,314.8604651,40,1002
1,333,454.3953488,76,1002
1,333,933.9302326,74,1002
1,333,89.86046512,5,1002
1,333,407.8057245,48,1002
1,333,384.3953488,38,1002
1,333,323.9302326,72,1002
1,333,51.73309481,33,1002
1,333,1029.860465,3,1002
1,333,0,28,1002
1,333,793.9302326,57,1002
1,333,634.3953488,37,1002
1,333,0,69,1002
1,333,573.9302326,64,1002
1,333,309.3953488,33,1002
1,333,924.8604651,11,1002
1,333,149.8604651,79,1002
1,333,549.8604651,19,1002
1,333,36.77423971,77,1002
1,333,944.8604651,20,1002
1,333,1464.395349,1,1002
1,333,0,50,1002
1,333,0,11,1002
1,333,1034.395349,55,1002
1,333,854.8604651,6,1002
1,333,979.3953488,31,1002
1,333,1169.395349,2,1002
1,333,1599.395349,42,1002
1,333,1074.860465,23,1002
1,333,488.9302326,66,1002
1,333,66.15026834,50,1002
1,333,799.8604651,68,1002
1,333,35.66726297,39,1002
1,333,664.8604651,20,1002
1,333,1489.395349,67,1002
1,333,603.9302326,75,1002
1,333,1634.395349,16,1002
1,333,558.9302326,47,1002
1,333,523.9302326,52,1002
1,333,249.8604651,48,1002
1,333,60.61395349,4,1002
1,333,1449.395349,72,1002
1,333,754.3953488,28,1002
1,333,0,29,1002
1,333,324.8604651,41,1002
1,333,914.8604651,8,1002
1,333,699.8604651,5,1002
1,333,23.61144902,23,1002
1,333,308.9302326,65,1002
1,333,768.9302326,43,1002
1,333,12.74418605,41,1002
1,333,348.9302326,64,1002
1,333,343.9302326,61,1002
1,333,1639.395349,42,1002
1,333,863.9302326,63,1002
1,333,1494.395349,76,1002
1,333,78.93023256,69,1002
1,333,869.8604651,12,1002
1,333,774.8604651,3,1002
1,333,349.8604651,11,1002
1,333,618.9302326,2,1002
1,333,1184.860465,25,1002
1,333,1264.395349,26,1002
1,333,64.55384615,29,1002
1,333,1439.395349,32,1002
1,333,829.8604651,50,1002
1,333,619.3953488,26,1002
1,333,128.9302326,55,1002
1,333,70.10089445,38,1002
1,333,649.3953488,43,1002
1,333,1104.860465,35,1002
1,333,10.65116279,53,1002
1,333,304.3953488,30,1002
1,333,763.9302326,66,1002
1,333,723.9302326,48,1002
1,333,943.9302326,77,1002
1,333,539.8604651,55,1002
1,333,1024.860465,52,1002
1,333,0,35,1002
1,333,134.3953488,64,1002
1,333,524.8604651,80,1002
1,333,134.8604651,66,1002
1,333,74.86046512,67,1002
1,333,444.8604651,36,1002
1,333,156.7645796,54,1002
1,333,1529.395349,35,1002
1,333,1469.395349,50,1002
1,333,28.40214669,42,1002
1,333,38.40214669,23,1002
1,333,223.9302326,57,1002
1,333,424.0601073,49,1002
1,333,0,77,1002
1,333,1479.395349,60,1002
1,333,12.48014311,69,1002
1,333,23.51699463,62,1002
1,333,437.6647585,47,1002
1,333,979.8604651,14,1002
1,333,419.3953488,13,1002
1,333,53.60858676,49,1002
1,333,149.3953488,77,1002
1,333,174.8604651,19,1002
1,333,1084.395349,45,1002
1,333,268.9302326,2,1002
1,333,868.9302326,65,1002
1,333,334.3953488,49,1002
1,333,834.3953488,31,1002
1,333,14.9137746,20,1002
1,333,65.94919499,27,1002
1,333,1519.395349,49,1002
1,333,399.3953488,3,1002
1,333,779.3953488,38,1002
1,333,22.78783542,58,1002
1,333,1099.860465,33,1002
1,333,1304.395349,42,1002
1,333,27.59355993,71,1002
1,333,1189.395349,27,1002
1,333,11.4568873,16,1002
1,333,919.3953488,26,1002
1,333,1004.395349,41,1002
1,333,404.3953488,6,1002
1,333,1319.860465,75,1002
1,333,729.8604651,17,1002
1,333,443.9302326,68,1002
1,333,214.8604651,72,1002
1,333,1098.594991,38,1002
1,333,1564.395349,49,1002
1,333,1654.395349,76,1002
1,333,758.9302326,64,1002
1,333,833.7824687,76,1002
1,333,11.70304114,39,1002
1,333,55.9627907,20,1002
1,333,1134.395349,68,1002
1,333,66.77280859,64,1002
1,333,127.231127,33,1002
1,333,378.9302326,76,1002
1,333,27.90554562,32,1002
1,333,554.8604651,23,1002
1,333,34.63184258,62,1002
1,333,889.0286225,13,1002
1,333,1089.395349,72,1002
1,333,274.8604651,7,1002
1,333,39.57567084,65,1002
1,333,584.8604651,9,1002
1,333,648.9302326,63,1002
1,333,1139.395349,60,1002
1,333,1259.860465,1,1002
1,333,468.9302326,58,1002
1,333,714.8604651,12,1002
1,333,1184.395349,23,1002
1,333,773.9302326,46,1002
1,333,204.8604651,66,1002
1,333,494.8604651,27,1002
1,333,1239.395349,42,1002
1,333,539.8604651,12,1002
1,333,559.8604651,77,1002
1,333,1284.860465,1,1002
1,333,1329.860465,1,1002
1,333,769.3953488,33,1002
1,333,499.3953488,29,1002
1,333,71.62075134,20,1002
1,333,1754.395349,49,1002
1,333,634.8604651,3,1002
1,333,579.3953488,49,1002
1,333,54.34275492,6,1002
1,333,609.3953488,45,1002
1,333,1033.114848,34,1002
1,333,168.9302326,57,1002
1,333,923.9302326,70,1002
1,333,1419.395349,23,1002
1,333,409.363864,50,1002
1,333,164.8604651,11,1002
1,333,253.9302326,53,1002
1,333,55.29946333,16,1002
1,333,558.9302326,76,1002
1,333,624.8604651,32,1002
1,333,138.9302326,67,1002
1,333,519.3953488,41,1002
1,333,63.88479428,66,1002
1,333,905.3323792,20,1002
1,333,553.9302326,74,1002
1,333,12.09302326,62,1002
1,333,293.8125224,55,1002
1,333,859.4322004,1,1002
1,333,929.8604651,13,1002
1,333,119.3953488,35,1002
1,333,394.3953488,2,1002
1,333,109.3953488,27,1002
1,333,929.0847943,68,1002
1,333,319.8604651,44,1002
1,333,1244.860465,75,1002
1,333,869.3953488,68,1002
1,333,0,32,1002
1,333,154.3953488,2,1002
1,333,64.46225403,24,1002
1,333,407.9123435,45,1002
1,333,279.3953488,56,1002
1,333,639.8604651,44,1002
1,333,267.8522361,53,1002
1,333,438.9302326,66,1002
1,333,37.56207513,9,1002
1,333,429.8604651,24,1002
1,333,1054.860465,15,1002
1,333,1189.395349,58,1002
1,333,728.9302326,50,1002
1,333,699.3953488,33,1002
1,333,379.8604651,36,1002
1,333,224.3953488,78,1002
1,333,849.3953488,37,1002
1,333,684.3953488,42,1002
1,333,94.39534884,10,1002
1,333,1299.860465,8,1002
1,333,258.9302326,74,1002
1,333,328.9302326,75,1002
1,333,68.1667263,12,1002
1,333,1429.860465,60,1002
1,333,1384.395349,41,1002
1,333,1049.395349,60,1002
1,342,1254.860465,79,42
1,342,1798.010733,25,42
1,342,1861.494812,30,42
1,342,1909.395349,52,42
1,342,1329.860465,55,42
1,344,12.18604651,1,1001
1,344,949.8604651,21,1001
1,344,879.8604651,16,1001
1,344,184.8604651,27,1001
1,344,978.983542,28,1001
1,344,69.86046512,60,1001
1,344,114.3953488,32,1001
1,344,329.3953488,47,1001
1,344,689.8604651,1,1001
1,344,393.9302326,47,1001
1,344,544.8604651,15,1001
1,344,574.3953488,31,1001
1,344,29.73309481,56,1001
1,344,453.9302326,73,1001
1,344,1034.395349,37,1001
1,344,704.3953488,36,1001
1,344,41.93559928,49,1001
1,344,464.8604651,3,1001
1,344,604.3953488,44,1001
1,344,424.8604651,20,1001
1,344,1164.860465,16,1001
1,344,999.3953488,39,1001
1,344,27.1313059,21,1001
1,344,42.81645796,43,1001
1,344,14.88085868,71,1001
1,344,79.39534884,72,1001
1,344,103.9302326,20,1001
1,344,1069.395349,52,1001
1,344,1094.395349,74,1001
1,344,324.3953488,46,1001
1,344,849.8604651,4,1001
1,344,284.8604651,15,1001
1,344,693.9302326,57,1001
